experiment,1,2,4,8,16,24,32,64
1,2996.395064889,2122.156631516,1005.384267835,736.656957960,578.892128937,388.761641411,388.642344586,281.056122762
2,3744.819031281,2889.994896141,997.854071233,778.079774267,488.126062542,793.013432812,373.647964666,287.728946156
3,3709.281951688,1838.723043089,1576.776417609,696.115771701,488.782681642,385.456194652,364.568024234,300.471292173
4,3336.048457565,2040.327140933,1576.557872188,975.865356185,542.855023992,606.008246194,404.773575224,279.612415721
5,3564.276179998,2281.571467053,1678.828019148,762.946540068,538.794110894,487.255553678,394.037849429,281.775797212
6,3127.218644979,2407.299390849,1942.225049006,798.394517316,501.361803263,527.268586264,407.847870672,292.123833751
7,3146.569433507,1538.827399766,989.882553986,871.634234385,738.672525768,626.730729536,312.224933544,286.746847053
8,3825.591818762,2246.307664697,1468.169176526,827.576340119,562.199593594,485.791091207,470.814398581,289.224290754
9,3534.631324757,1664.329009725,1826.181963594,969.943495549,544.621906493,374.559935329,389.772739433,283.788846878
10,3523.236122817,1892.520312145,1573.159944588,762.435249946,523.477746017,467.295097407,330.200659121,287.288149616
